category_id,category_name,subcategory_name,product_id,product_name,suggested_unit,scraped_price,original_price,price_unit,scraped_product_name,price_status,source_name,source_url,source_date,price_notes
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-matta-rice,Matta rice,kg,229,MRP Rs 230; offer Rs 229/5kg,INR/5kg,Pavizham Matta Rice 5kg,scraped_public_price,Fine Grocery Calicut public listing,https://finegrocery.in/,Observed 2026-06-04,Calicut online grocery listing; service availability depends on selected Calicut location.
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-raw-rice,Raw rice,kg,,,,,shop_survey_required,,,,No public Koyilandy-area item price found; needs Extra/Reliance/local shop survey or POS export.
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-boiled-rice,Boiled rice,kg,,,,,shop_survey_required,,,,No public Koyilandy-area item price found; needs Extra/Reliance/local shop survey or POS export.
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-kuruva-rice,Kuruva rice,kg,,,,,shop_survey_required,,,,No public Koyilandy-area item price found; needs Extra/Reliance/local shop survey or POS export.
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-cherumani-rice,Cherumani rice,kg,,,,,shop_survey_required,,,,No public Koyilandy-area item price found; needs Extra/Reliance/local shop survey or POS export.
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-jaya-rice,Jaya rice,kg,230,MRP Rs 296; offer Rs 230/5kg,INR/5kg,Tolins food Jaya Rice 5kg,scraped_public_price,Fine Grocery Calicut public listing,https://finegrocery.in/,Observed 2026-06-04,Calicut online grocery listing; service availability depends on selected Calicut location.
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-sona-masoori-rice,Sona masoori rice,kg,,,,,shop_survey_required,,,,No public Koyilandy-area item price found; needs Extra/Reliance/local shop survey or POS export.
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-basmati-rice,Basmati rice,kg,,,,,shop_survey_required,,,,No public Koyilandy-area item price found; needs Extra/Reliance/local shop survey or POS export.
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-jeerakasala-rice,Jeerakasala rice,kg,,,,,shop_survey_required,,,,No public Koyilandy-area item price found; needs Extra/Reliance/local shop survey or POS export.
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-gandhakasala-rice,Gandhakasala rice,kg,,,,,shop_survey_required,,,,No public Koyilandy-area item price found; needs Extra/Reliance/local shop survey or POS export.
